artist,title,spotify_uri
"El Americano 4KT, THE FAVORITES",MAMAXITA,3UJN0IUZIeXnrmo48e6XXx
Aventura,Dile al Amor,2Bhmj4XK33InfhqKPxcJ1v
"Peso Pluma, Estevan Plazola",HOLLYWOOD,5GTBdEjZe7zEDp1N0eCZE4
Rayo & Toby,Movimiento de Caderas,5u4XWSNpF4wE6W6i78Uf1B
Fuerza Regida,ANSIEDAD,1a7onn7lPqqRWul5ogyMyX
Aventura,El Perdedor,27ze5t5tIDPlVits0KRbxT
Tego Calderón,Pa' Que Retozen,5YJ4BVvTFmVCxUyhKejHfR
"Georgy Parra Salvaje, Yeison Jimenez",GPS #5 - Dime Que Sí,7BNTVOitDoUC5HVN8HleQy
BTS,Dynamite,5QDLhrAOJJdNAmCTJ8xMyW
"J Balvin, Bad Bunny",QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt
Mon Laferte,Tu Falta De Querer,4skuEIloXWuxxgekKupkEH
Bad Bunny,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ
ROA,FANTASÍA,5hWpXZOs7vpz0JD3CIylsb
"Blessd, CARABIN3, SVNTI",MUSA REMIX,5ReIuecGjsHabpYSNlKnuR
Don Omar,Dile,69Ej1xrGjOcHvIMtMKxK0G
"Ryan Castro, Blaiz Fayah, Tribal Kush",BOMBASTIK<3,2Kx9AfJPaJib9DwAdDYdB9
Luister La Voz,Las Cartas,73BrH4q0vUdhT34uK9j98O
"Ryan Castro, Blessd",LEJANIA,4py8x8qXCOTi0Rrm4NbCTK
Ele A El Dominio,Hace Mucho Tiempo,3eIvjtwoYC16ElxYE6ph7J
"Trap Capos, Noriel, Bad Bunny, Arcángel",De las 2 (feat. Bad Bunny & Arcángel),4DS7HoqrKq1dDjeYOKBlu9
"Bad Bunny, Feid",PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh
Grupo Niche,Algo Que Se Quede,1JXcB149QtbcIpDUA6YZOB
"Alleh, Yorghaki",capaz (merengueton),2dd3G3ZqEcG2cNS1tp3oEk
"Alexis y Fido, Arcángel, De La Ghetto",Camuflaje (Remix),1dAQ93kw8Sy9n4JCz2G9Nf
Los Hijos De Puerto Rico,Separados,2HbmLkHkkI15eES8kpWRuI
Adolescent's Orquesta,Virgen,5HCGrYR7g9u2X9Ju83yQLm
"El Americano 4KT, Tony Monta",WELCOME,2lGGv17kLfOrdVzNFzuQWM
Yeison Jimenez,Maldita Traga,4ysgNOWbc02RUnCxQMzpeL
"Luis Silva, Yeison Jimenez",Como No Voy a Decirlo,0ToktqlTchGYvCRHUCWnG5
"Blessd, Hades66, Blackinny, Young Fatty",MAS QUE AMIGOS,0sOrHE0vkEhrmWZnhqjP36
"Oscar Maydon, Fuerza Regida",Tu Boda,5mp6OBKCAjN4UYRvhOuUze
Omar Courtz,⁠LUCES DE COLORES,5dDlknAL9imbXXl7uG7oqe
"La Factoria, Eddy Lover",Perdóname,6yLqoieklk9gwabLaUDJ4s
"Piso 21, Marc Anthony, Beéle",Volver,61C7zXd4t2Zuhz6DRwgsLM
Farruko,Cositas Que Haciamos,5BrVJGkFTBPAMRl5hIE9A7
"Blessd, Kris R., Young Fatty, TURY, CARABIN3, GeezyDee","MIU MIU (feat. GeezyDee, CARABIN3)",1btsXTZnL2wVSW8oDWvjMM
Willie Colón,Talento De Televisión,3fRIuTih8bzc0vtY9fHhvF
"Don Omar, Plan B",Hooka,0BenZn1xELuxhb7Pjwyjxv
Blessd,Instagram,0EFxJw34fK8DWlTxx9qYeW
Juliana,El AchanTAdo,3fr52NaaVxb2UxPNxDtaQx
"J Alvarez, Ñejo & Dalmata","Sexo, Sudor y Calor",4eDjNcAyIuJFhQ31Fvvoc1
Maluma,El Perdedor,1iEwyiSLAunPR6uouANE0O
"Victor Valverde, JR Torres",El Mayor De Los Ranas,6v5qt5KPQHJt5ckWuhDGtM
Luis Enrique,Yo No Sé Mañana,5jJTqI5yteOyLWoDTjiHCO
Hades66,YO QUIERO,47sQ0h1xhlDWJ3nHbwYPrg
Fuerza Regida,TU SANCHO,6eLQXa6uk2EW8drsiKbABZ
"GeezyDee, Kris R.",Parche Tranqui,2ROj8GoI45RQouYomaLDTm
Jose Luis Carrascal,Como Duele El Frio,2QcUxndr7skMMHLElnl4Bo
Fresto Music,Me Hace Daño Verte,4dyzxv5SsdBtunuU3qj7Ti
David Pabon,Aquel Viejo Motel,286NP8kXWzx2uHb5tr7TGv
Frankie Ruiz,Desnúdate Mujer,65nL3OLuHHfEYxKkHMQ1fL
"Grupo Firme, Gerardo Coronel",Qué Onda Perdida,6IV5Y1eWaQZ1jV5apkUMS4
Romeo Santos,Eres Mía,6I86RF3odBlcuZA9Vfjzeq
"Bad Bunny, Bomba Estéreo",Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW
"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,1DwscornXpj8fmOmYVlqZt
Bruno Mars,Risk It All,5y2ijHECwFYWqcAHKTZgzD
Djo,End of Beginning,3qhlB30KknSejmIvZZLjOD
Olivia Dean,Man I Need,1qbmS6ep2hbBRaEZFpn7BX
Taylor Swift,The Fate of Ophelia,53iuhJlwXhSER5J2IYYv1W
Olivia Dean,So Easy (To Fall In Love),6sGIMrtIzQjdzNndVxe397
Bruno Mars,I Just Might,6f68Ac5tt5BQOpwr0BV9oN
sombr,back to friends,7qjZnBKE73H4Oxkopwulqe
Dominic Fike,Babydoll,7yNf9YjeO5JXUE3JEBgnYc
RAYE,WHERE IS MY HUSBAND!,55lijDD6OAjLFFUHU9tcDm
"Dave, Tems",Raindance (feat. Tems),3oTuTpF1F3A7rEC6RKsMRz
Zara Larsson,Lush Life,1rIKgCH4H52lrvDcz50hS8
Alex Warren,Ordinary,2RkZ5LkEzeHGRsmDqKwmaJ
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,1CPZ5BxNNd0n0nF4Orb9JS
"Lady Gaga, Bruno Mars",Die With A Smile,7so0lgd0zP2Sbgs2d7a1SZ
Alex Warren,FEVER DREAM,7ogpGbKc4Io6NCU6ydxXwZ
SIENNA SPIRO,Die On This Hill,2gYTC8DsplN3RNdpdBcCOQ
BLACKPINK,GO,3FZPp9lBUvhsxFxKJi3VkB
The Goo Goo Dolls,Iris,6Qyc6fS4DsZjB2mRW9DsQs
sombr,Homewrecker,7tICCrK3CcyRFKza7yrR0z
Billie Eilish,BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB
The Police,Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1
Ravyn Lenae,Love Me Not,4WFgvKVfEhb3IUAFGrutTR
She & Him,I Thought I Saw Your Face Today,0myRViRgmQ3J8izICXEAVO
Sabrina Carpenter,Manchild,2BwO5K8Q7EPAJSGze3AAh9
sombr,12 to 12,05od2qm2MTSKCHxy1GBp5W
Gigi Perez,Sailor Song,21IYMdzTrzSe191Cy5eMap
Taylor Swift,Opalite,3yWuTOYDztXjZxdE2cIRUa
Bella Kay,iloveitiloveitiloveit,5IMpnpD0tQVcqWlVIgtAtV
The Neighbourhood,Sweater Weather,0cQVqPuHQP4KEwc7ZUQmj6
Billie Eilish,WILDFLOWER,3QaPy1KgI7nu9FJEQUgn6h
Radiohead,Creep,70LcF31zb1H0PyJoS1Sx1r
Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU
"Disco Lines, Tinashe",No Broke Boys,3cZajhyr8LmtPfHZ9296tj
"Drake, Wizkid, Kyla",One Dance,1zi7xx7UVEFkmKfv06H8x0
Benson Boone,Beautiful Things,3xkHsmpQCBMytMJNiDf3Ii
