rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
140,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",26,147,80,"453730"
141,"spotify:track:6r46lnXFbE9fr2d3KNaGbe","Romeo Santos","Imitadora","Sony Music Latin",68,137,41,"452424"
142,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",139,165,7,"451305"
143,"spotify:track:1m69ELEgE6k5ZWsap40ozt","Ozuna","Se Preparó","VP Records Corp/Dimelo Vi",2,140,112,"449726"
144,"spotify:track:7eNwwoxDR8KVzNAuGvliAO","Omar Courtz, De La Rose, Haze","Kyoto","House of Haze",64,119,73,"449478"
145,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",96,143,12,"449384"
146,"spotify:track:1C7NXX8UJ6pgNx8EkmyZDd","Beéle","si te pillara","5020 Records",6,133,39,"448588"
147,"spotify:track:0h0mWHM5SkpS9rcmGyBoox","Clarent","Enzaciao","Kp records",107,136,38,"447250"
148,"spotify:track:4OwhwvKESFtuu06dTgct7i","Marc Seguí, Rauw Alejandro, Pol Granch","Tiroteo - Remix","WEA Latina",7,156,192,"447094"
149,"spotify:track:6yCjU5j6YHbux2VQCBTTE1","Melendi","Tu jardín con enanitos","WM Spain",61,152,187,"446334"
150,"spotify:track:6BxCmy6vGbuOckxg6YfQOW","Extremoduro","Stand By","DRO/EastWest Spain",15,142,22,"446118"
151,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",21,154,108,"443134"
152,"spotify:track:4Oc1qHsjM4kM0AARvlwSs3","Abraham Mateo, Ana Mena","Quiero Decirte","Sony Music Entertainment",16,135,110,"441880"
153,"spotify:track:7bywjHOc0wSjGGbj04XbVi","Feid, ATL Jacob","LUNA","UMLE - Latino",2,159,118,"440860"
154,"spotify:track:2Mgur7BKnpr7OG3izSNFTA","Bryant Myers, Anuel AA, Anonimus, Almighty","Esclava - Remix","Millogang Music Inc., Real Hasta La Muerte LLC, Anonimus Music, La Industria De Los Inmortales",106,151,44,"438825"
155,"spotify:track:09djeJtz8wrtQFs5YtwgD4","Midnvght, ROA, Mora, Eladio Carrion, Clarent, Finesse","Falsas Promesas (Remix)","Cash Money Records, LLC",91,91,3,"436456"
156,"spotify:track:0PtLrH95CQ2lKf6pym5LmA","Pepe y Vizio, Delaossa, KIDDO","El Patio","Helsinkipro",8,146,139,"431921"
157,"spotify:track:0JoHqmlqE0W0i9prt6kcHR","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Sony Music Latin",53,155,83,"431463"
158,"spotify:track:2T8yuUKl1nhmtaIocqWo4i","ROSALÍA, Björk, Yves Tumor","Berghain","Columbia",1,-1,17,"430536"
159,"spotify:track:3VvA1wSxukMLsvXoXtlwWx","Boza","Hecha Pa' Mi","Sony Music Latin",3,149,96,"430456"
160,"spotify:track:0dLdgRj8l4N0rmAwDxIV1Z","JC Reyes, David Marley","CELOSA","JC Reyes",10,102,51,"426402"
