rank,artist,title,region,spotify_uri,dominant_emotion,emotion_love,emotion_longing,emotion_joy,emotion_heartbreak,emotion_grief,emotion_despair,emotion_hope,emotion_lonely,emotion_sensual,emotion_anger
42,"Drake, Wizkid, Kyla",One Dance,Global,1zi7xx7UVEFkmKfv06H8x0,null,null,null,null,null,null,null,null,null,null,null
44,Ella Langley,Choosin' Texas,Global,65DbTqJKhbwqYbZ1Okr0rc,null,null,null,null,null,null,null,null,null,null,null
51,The Killers,Mr. Brightside,Global,003vvx7Niy0yvhvHt4a68B,null,null,null,null,null,null,null,null,null,null,null
52,"Sean Paul, Keyshia Cole",(When You Gonna) Give It Up to Me - Radio Version,Global,5nEdwtSv0qqeE0l4o1lR4q,null,null,null,null,null,null,null,null,null,null,null
60,Fleetwood Mac,Dreams,Global,0ofHAoxe9vBkTCp2UQIavz,null,null,null,null,null,null,null,null,null,null,null
62,"Peso Pluma, Tito Double P",dopamina,Global,3e32UUqXzrI4g2y5kNZrwC,null,null,null,null,null,null,null,null,null,null,null
69,Dominic Fike,White Keys,Global,5ViLKrbyL3HD6wsq3AB9eI,null,null,null,null,null,null,null,null,null,null,null
72,"Gorillaz, De La Soul",Feel Good Inc.,Global,0d28khcov6AiegSCpG5TuT,null,null,null,null,null,null,null,null,null,null,null
74,Vance Joy,Riptide,Global,2uXlHCUbq9OMUwx3hrk06o,null,null,null,null,null,null,null,null,null,null,null
75,Arctic Monkeys,505,Global,58ge6dfP91o9oXMzq3XkIS,null,null,null,null,null,null,null,null,null,null,null
80,Herencia De Grandes,Ya Borracho,Global,4NyUIohBa3CEMGcXURYSOh,null,null,null,null,null,null,null,null,null,null,null
81,Linkin Park,In the End,Global,60a0Rd6pjrkxjPbaKzXjfq,null,null,null,null,null,null,null,null,null,null,null
84,Michael Jackson,Billie Jean,Global,7J1uxwnxfQLu4APicE5Rnj,null,null,null,null,null,null,null,null,null,null,null
86,Lord Huron,The Night We Met,Global,5yJaXWIErrrsjQ3J0eR5aK,null,null,null,null,null,null,null,null,null,null,null
87,"Peso Pluma, Tito Double P",daño,Global,136BeIIoBGrrU9fI1jbcDR,null,null,null,null,null,null,null,null,null,null,null
89,Neton Vega,Pvta Luna,Global,33MeEaRCeIQMSRyFTr5ZJU,null,null,null,null,null,null,null,null,null,null,null
94,"Peso Pluma, Tito Double P",7-3,Global,4lzo6zPM2paqyP8oBp3DOs,null,null,null,null,null,null,null,null,null,null,null
95,Don Toliver,Body,Global,0FlcmZ13DGRmscCroro9GO,null,null,null,null,null,null,null,null,null,null,null
96,Lenin Ramírez,Todo Lo Fue,Global,0Sa8aRfGckW0qUGLrBwoBG,null,null,null,null,null,null,null,null,null,null,null
99,Lil Uzi Vert,What You Saying,Global,7cjoZVmWe2xsGR4wcXiV2v,null,null,null,null,null,null,null,null,null,null,null
101,Evanescence,Bring Me To Life,Global,0COqiPhxzoWICwFCS4eZcp,null,null,null,null,null,null,null,null,null,null,null
103,Empire Of The Sun,We Are The People,Global,3zEN0ii6s4DHHBpnTp3RP7,null,null,null,null,null,null,null,null,null,null,null
104,"Don Omar, Lucenzo",Danza Kuduro,Global,2a1o6ZejUi8U3wzzOtCOYw,null,null,null,null,null,null,null,null,null,null,null
105,Fuerza Regida,Marlboro Rojo,Global,3hpm0fTeSqlhJbnqAgaLZs,null,null,null,null,null,null,null,null,null,null,null
106,Tame Impala,The Less I Know The Better,Global,6K4t31amVTZDgR3sKmwUJJ,null,null,null,null,null,null,null,null,null,null,null
107,Olivia Dean,Nice To Each Other,Global,7gKxCvTDWwV9wBhdeBbr3l,null,null,null,null,null,null,null,null,null,null,null
110,Piche Kota,Bahagia Lagi,Global,5tZaKZPJtiHh6teQfVEHB5,null,null,null,null,null,null,null,null,null,null,null
115,Harry Styles,Aperture,Global,45Z3m6yazmAi4jZuW0tzW0,null,null,null,null,null,null,null,null,null,null,null
119,The Weeknd,Blinding Lights,Global,0VjIjW4GlUZAMYd2vXMi3b,null,null,null,null,null,null,null,null,null,null,null
120,Tame Impala,Dracula,Global,1NXbNEAcPvY5G1xvfN57aA,null,null,null,null,null,null,null,null,null,null,null
122,Nirvana,Smells Like Teen Spirit,Global,0gucTLf7trAf37Ua1uAyAu,null,null,null,null,null,null,null,null,null,null,null
125,"Pitbull, AFROJACK, Ne-Yo, Nayer",Give Me Everything (feat. Nayer),Global,4QNpBfC0zvjKqPJcyqBy9W,null,null,null,null,null,null,null,null,null,null,null
126,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Global,7KA4W4McWYRpgf0fWsJZWB,null,null,null,null,null,null,null,null,null,null,null
128,Don Toliver,No Pole,Global,0eaVIYo2zeOaGJeqZ5TwYz,null,null,null,null,null,null,null,null,null,null,null
130,"Shakira, Wyclef Jean",Hips Don't Lie (feat. Wyclef Jean),Global,3d0WouFnFmr0K3kjeza3fF,null,null,null,null,null,null,null,null,null,null,null
132,Rihanna,Only Girl (In The World),Global,2ENexcMEMsYk0rVJigVD3i,null,null,null,null,null,null,null,null,null,null,null
133,Rihanna,Don't Stop The Music,Global,1Jo0Zg7XlrA6z0mFTZVdkn,null,null,null,null,null,null,null,null,null,null,null
136,Eminem,Without Me,Global,7lQ8MOhq6IN2w8EYcFNSUk,null,null,null,null,null,null,null,null,null,null,null
138,TOTO,Africa,Global,2374M0fQpWi3dLnB54qaLX,null,null,null,null,null,null,null,null,null,null,null
139,Linkin Park,Numb,Global,2nLtzopw4rPReszdYBJU6h,null,null,null,null,null,null,null,null,null,null,null
145,Idgitaf,Sedia Aku Sebelum Hujan,Global,64qfw9JZl3RYCrq4Mn0WvT,null,null,null,null,null,null,null,null,null,null,null
146,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Global,22skzmqfdWrjJylampe0kt,null,null,null,null,null,null,null,null,null,null,null
147,EsDeeKid,4 Raws,Global,554qQSs9lpRVq6TlaaiIKT,null,null,null,null,null,null,null,null,null,null,null
151,rihanna,We Found Love,Global,1zv3WFUbZ5vPxFq9I2jAU1,null,null,null,null,null,null,null,null,null,null,null
152,Sam Fender,Rein Me In,Global,0MUXBhPUDF8or0kfQ0EHwV,null,null,null,null,null,null,null,null,null,null,null
153,Creedence Clearwater Revival,Have You Ever Seen The Rain,Global,2LawezPeJhN4AWuSB0GtAU,null,null,null,null,null,null,null,null,null,null,null
158,Tom Odell,Another Love,Global,7jtQIBanIiJOMS6RyCx6jZ,null,null,null,null,null,null,null,null,null,null,null
159,"Peso Pluma, Tito Double P, LENCHO",chiclona,Global,5Q4HTsEGKanxOwL1nYCnhQ,null,null,null,null,null,null,null,null,null,null,null
160,Guns N' Roses,Sweet Child O' Mine,Global,7snQQk1zcKl8gZ92AnueZW,null,null,null,null,null,null,null,null,null,null,null
162,Tears For Fears,Everybody Wants To Rule The World,Global,2YiCMmONQcoMPX2bV1LxE0,null,null,null,null,null,null,null,null,null,null,null
163,Fleetwood Mac,The Chain - 2004 Remaster,Global,5e9TFTbltYBg2xThimr0rU,null,null,null,null,null,null,null,null,null,null,null
